nom_fichier,texte_brut,y_centre,x_gauche,est_un_prix,confiance_ocr,categorie_cible
fake_augmented_entr_0,LE$SIVE LIQuIDE ARIEL,714.5,373.0,False,0.76,Entretien
fake_augmented_entr_1,LE5siÈIiQU|êê ArrlleL,874.7,577.3,False,0.81,Entretien
fake_augmented_entr_2,1ËS5IVE l|qUIId R,1158.4,389.6,False,0.66,Entretien
fake_augmented_entr_3,LES$IVE LIquIdE ARiEI,925.6,407.3,False,0.05,Entretien
fake_augmented_entr_4,LLESSiVE 1IQUIDÊ ArIEL,857.8,389.5,False,0.41,Entretien
fake_augmented_entr_5,"Le5SSVe , iIQULd ArIEll",922.6,289.5,False,0.68,Entretien
fake_augmented_entr_6,LeS$IVVÈ LiQuID RIe1,949.0,532.2,False,0.3,Entretien
fake_augmented_entr_7,LLEsSVEE 1Lqi0E Ar,1056.8,611.8,False,0.52,Entretien
fake_augmented_entr_8,LEsSIVE LIQUIDE ARIEL,843.9,508.1,False,0.55,Entretien
fake_augmented_entr_9,lEss1VVe lIquuiDE rIEEï,864.0,430.4,False,0.11,Entretien
fake_augmented_entr_10,lS$lVE LIuQ AR1E,843.5,331.0,False,0.15,Entretien
fake_augmented_entr_11,LESSSivE LIQI0Ê ÄRI3L,820.5,351.4,False,0.85,Entretien
fake_augmented_entr_12,LESSIvE LIQUIDE ARIELL,1178.6,485.8,False,0.83,Entretien
fake_augmented_entr_13,LEs5IVeLIQU|DE ARIEL,1076.1,570.7,False,0.41,Entretien
fake_augmented_entr_14,LESSIVVE LIqUIDE ARIEL,753.5,387.1,False,0.94,Entretien
fake_augmented_entr_0,LESSIVE POUDRE SKIP,1076.3,684.6,False,0.44,Entretien
fake_augmented_entr_1,LESsIVE POUDRE SKIP,993.5,406.6,False,0.84,Entretien
fake_augmented_entr_2,LeSSIVE P0UDRESSKIP,1108.4,447.6,False,0.98,Entretien
fake_augmented_entr_3,LEsIVE POUDRE sKIP,942.7,404.7,False,0.68,Entretien
fake_augmented_entr_4,LESSSIVÈ POUDRE $KIP,914.7,606.0,False,0.26,Entretien
fake_augmented_entr_5,LESSSIVE POuQrE S,1050.7,323.7,False,0.94,Entretien
fake_augmented_entr_6,lESsIVë POURE,1080.2,360.3,False,0.03,Entretien
fake_augmented_entr_7,lESS1VÊ pOQRE S,1127.3,500.2,False,0.55,Entretien
fake_augmented_entr_8,LESSVE POUDRE SKIP,878.7,512.8,False,0.25,Entretien
fake_augmented_entr_9,LESSSIVE POUDRE SKIP,889.2,580.3,False,0.31,Entretien
fake_augmented_entr_10,IESSIVE POUQRÈ SKIP,1162.8,493.1,False,0.66,Entretien
fake_augmented_entr_11,LEsSIVE POU0RE SKIP,1194.1,445.9,False,0.99,Entretien
fake_augmented_entr_12,"LEsSIVe , pQUDDre SKIP",767.8,633.1,False,0.87,Entretien
fake_augmented_entr_13,LESSiVE PPOUDRRE SKIP,1055.5,651.6,False,0.31,Entretien
fake_augmented_entr_14,LESSIvE POUDRE SKIP,1089.5,469.4,False,0.63,Entretien
fake_augmented_entr_0,LE$SiVE CAPPSulE LENOR,1008.8,377.2,False,0.78,Entretien
fake_augmented_entr_1,LLEssiVE - CApSULES LeNOR,1044.1,528.2,False,0.44,Entretien
fake_augmented_entr_2,LESSIVË CAPsULe5,928.7,515.2,False,0.51,Entretien
fake_augmented_entr_3,E$SIVE cAPSuI5,843.8,549.0,False,0.92,Entretien
fake_augmented_entr_4,LÈSSIVE @PSuLEs lENOR,1111.1,418.7,False,0.8,Entretien
fake_augmented_entr_5,IIESSIIVE CpSLe5 lEE,810.4,625.6,False,0.21,Entretien
fake_augmented_entr_6,LESSIVE CAPSULES LLEnOR,1174.4,546.7,False,0.96,Entretien
fake_augmented_entr_7,LLEsSiVE C@PSULES LeNOR,771.4,512.2,False,0.76,Entretien
fake_augmented_entr_8,LÈssIVe CAp$UlES LENOOR,1029.6,586.5,False,0.45,Entretien
fake_augmented_entr_9,LESsIV CAPSULLeS LEn0R,1087.8,556.7,False,0.89,Entretien
fake_augmented_entr_10,leSSIIVe C4puLEs Lënoor,886.2,634.4,False,0.29,Entretien
fake_augmented_entr_11,LESSIVE CAPSULES LËNOR,805.3,428.7,False,0.11,Entretien
fake_augmented_entr_12,l$SIV C4pp$ULE$ lEEN0R,1042.3,378.1,False,0.74,Entretien
fake_augmented_entr_13,leS$ve ccPSULe5 iÊn0r,1043.0,402.3,False,0.96,Entretien
fake_augmented_entr_14,[ESIv CAPSUES ÈNOrr,1145.2,619.9,False,0.79,Entretien
fake_augmented_entr_0,GL LSSVE PER,877.8,312.3,False,0.38,Entretien
fake_augmented_entr_1,GEL [ESSlve PÈRSIL,833.1,443.5,False,0.68,Entretien
fake_augmented_entr_2,GEL LESSIVe PERsIL,744.0,339.5,False,0.96,Entretien
fake_augmented_entr_3,GEI LESS|vE PERSiL,1166.6,373.2,False,0.78,Entretien
fake_augmented_entr_4,GEL LESSIVE pErSIL,1006.6,274.5,False,0.52,Entretien
fake_augmented_entr_5,GEL LESSVE PERSIL,1112.6,272.0,False,0.16,Entretien
fake_augmented_entr_6,6EL LESSlvE PERSIl,907.3,270.5,False,0.36,Entretien
fake_augmented_entr_7,6El lE$SIVE PE$,787.5,418.4,False,0.06,Entretien
fake_augmented_entr_8,GEL LESSiVE PÉrSIL,877.8,399.5,False,0.21,Entretien
fake_augmented_entr_9,GE[ LE$$IVE PERsIL,977.5,619.9,False,0.19,Entretien
fake_augmented_entr_10,_ 6EELL lesSIVee PER5IL,918.4,695.6,False,0.1,Entretien
fake_augmented_entr_11,GEL LESSVE PERsIL,843.4,287.1,False,0.51,Entretien
fake_augmented_entr_12,GGe[ LeeSiVE PE,994.4,337.7,False,0.35,Entretien
fake_augmented_entr_13,! GeL lES5IVe PeRSIL,709.4,474.0,False,0.65,Entretien
fake_augmented_entr_14,CEL LeSSIVE PERSIL,774.5,510.7,False,0.92,Entretien
fake_augmented_entr_0,LESSIVE FRAICCHEUR DASH,1029.7,374.4,False,0.21,Entretien
fake_augmented_entr_1,LESsiVE fRa|CHÈUR DÂsH,702.5,691.1,False,0.06,Entretien
fake_augmented_entr_2,Le$SIvE FRÄIcHÈURR DA$H,966.0,621.4,False,0.89,Entretien
fake_augmented_entr_3,LEsSIVE FRIChEUR D@sH,902.3,474.7,False,0.16,Entretien
fake_augmented_entr_4,LE$SIvE fRaiCCHEUR ASH,799.6,624.5,False,0.3,Entretien
fake_augmented_entr_5,LEsSIVE FFrÂICHEUR DÂSH,1158.0,302.5,False,0.15,Entretien
fake_augmented_entr_6,LESSIVE FRÀIcHEUrr,946.9,423.2,False,0.46,Entretien
fake_augmented_entr_7,LEsSIVE FrAICHEUR DA,978.3,637.2,False,0.31,Entretien
fake_augmented_entr_8,LESSSIVE FRAiHEUr DAsH *,1025.8,385.8,False,0.8,Entretien
fake_augmented_entr_9,LSSIVÊÊ FRAICHeURR D4SH,948.2,290.6,False,0.6,Entretien
fake_augmented_entr_10,LESsIVêê FRAIChEUR DAsH,701.5,340.0,False,0.32,Entretien
fake_augmented_entr_11,. LEsSIVE fRÄIHeuR DAsH,1154.1,698.5,False,0.93,Entretien
fake_augmented_entr_12,* lES$IEE FraaicHEUR d4SH,753.0,395.6,False,0.05,Entretien
fake_augmented_entr_13,LESSiVE frAICHEU QASH,827.4,286.8,False,0.51,Entretien
fake_augmented_entr_14,LESSIIVEE FRIChEUR DASH,1108.3,469.6,False,0.71,Entretien
fake_augmented_entr_0,LES$IVE COLOR ARI,1163.3,447.0,False,0.46,Entretien
fake_augmented_entr_1,- 1ESSIv C0l0r ARE[,1137.9,687.7,False,0.43,Entretien
fake_augmented_entr_2,lÉSSIVVE CoLLoR ÄR,912.4,308.5,False,0.23,Entretien
fake_augmented_entr_3,LESSIVE COLOr A,1068.0,540.7,False,0.86,Entretien
fake_augmented_entr_4,LESsIVECOLOR aRII,977.4,603.3,False,0.32,Entretien
