nom_fichier,texte_brut,y_centre,x_gauche,est_un_prix,confiance_ocr,categorie_cible
im10_aug_0.jpeg,ücocciMarket,283.0,413.0,False,0.54,
im10_aug_0.jpeg,Coecthhrket CITY,361.0,441.0,False,0.12,
im10_aug_0.jpeg,5 RUE AuCuStE_MIE,418.5,435.0,False,0.07,
im10_aug_0.jpeg,75014 PARIS|AEME' ARRONDISSENENT,443.0,337.0,False,0.14,
im10_aug_0.jpeg,France,477.0,515.0,False,0.98,
im10_aug_0.jpeg,Date,526.0,375.0,False,0.9,
im10_aug_0.jpeg,79/5272025,523.5,474.0,False,0.57,
im10_aug_0.jpeg,22*12,521.0,651.0,False,0.63,
im10_aug_0.jpeg,Ticket n,566.0,332.0,False,0.27,
im10_aug_0.jpeg,45 0000 001 00199900,559.0,501.0,False,0.24,
im10_aug_0.jpeg,DuPEICHTRT,627.0,293.0,False,0.13,
im10_aug_0.jpeg,0745000000/00199900,669.0,291.0,False,0.27,
im10_aug_0.jpeg,(8525)boootLxrl,663.5,608.0,False,0.19,
im10_aug_0.jpeg,Oté Dêsignatien,757.0,295.0,False,0.23,
im10_aug_0.jpeg,P U Tot TTC,747.0,667.0,False,0.25,
im10_aug_0.jpeg,EuR,776.0,780.0,False,0.48,
im10_aug_0.jpeg,Mini Bhiuis BERDER,832.0,353.0,False,0.02,
im10_aug_0.jpeg,478,827.0,658.0,False,0.2,
im10_aug_0.jpeg,4515,828.0,768.0,False,0.38,
im10_aug_0.jpeg,Epicerte,863.5,350.0,False,0.24,
im10_aug_0.jpeg,4215,857.0,656.0,False,0.17,
im10_aug_0.jpeg,4115,856.0,768.0,False,0.42,
im10_aug_0.jpeg,2 Tabbule PoulEt 390,891.0,323.0,False,0.02,
im10_aug_0.jpeg,"2,95'",887.0,656.0,True,0.39,
im10_aug_0.jpeg,"5,80",885.0,767.0,True,0.49,
im10_aug_0.jpeg,2ROCHER AlAnoes: BoR,920.5,321.0,False,0.05,
im10_aug_0.jpeg,3725,917.0,657.0,False,0.67,
im10_aug_0.jpeg,"6,50",915.0,769.0,True,0.34,
im10_aug_0.jpeg,1ombtedarticles,979.5,263.0,False,0.02,
im10_aug_0.jpeg,TOTAL,1018.0,261.0,False,0.89,
im10_aug_0.jpeg,TTC;,1014.0,433.0,False,0.55,
im10_aug_0.jpeg,20,1012.0,598.0,False,1.0,
im10_aug_0.jpeg,70 EUR,1010.0,681.0,False,0.97,
im10_aug_0.jpeg,Codesia,1061.0,263.0,False,0.07,
im10_aug_0.jpeg,At,1056.0,490.0,False,0.04,
im10_aug_0.jpeg,TVA,1052.0,590.0,False,0.37,
im10_aug_0.jpeg,TTC,1050.0,718.0,False,0.46,
im10_aug_0.jpeg,C5y,1090.5,263.0,False,0.07,
im10_aug_0.jpeg,19457,1086.0,450.0,False,0.09,
im10_aug_0.jpeg,108,1082.0,578.0,False,0.34,
im10_aug_0.jpeg,203770,1081.0,689.0,False,0.24,
im10_aug_0.jpeg,"IT,l NT",1119.0,265.0,False,0.01,
im10_aug_0.jpeg,19562,1116.0,452.0,False,0.4,
im10_aug_0.jpeg,AA Especes,1172.5,295.0,False,0.02,
im10_aug_0.jpeg,20370,1164.5,772.0,False,0.43,
im10_aug_0.jpeg,Toremnos,1225.0,377.0,False,0.01,
im10_aug_0.jpeg,squthenEUR,1221.0,575.0,False,0.01,
im10_aug_0.jpeg,Se0ndioatinncoaraire,1255.0,377.0,False,0.0,
im10_aug_0.jpeg,stRET959663 t00014,1283.0,335.0,False,0.0,
im10_aug_0.jpeg,KAFeii8,1281.0,665.0,False,0.0,
im10_aug_0.jpeg,PatoraconFR6689106a645,1312.5,379.0,False,0.0,
im10_aug_0.jpeg,5u8285240972J00,1373.0,289.0,False,0.0,
im10_aug_0.jpeg,Wrszn)auoour LYD,1371.5,594.0,False,0.02,
im10_aug_0.jpeg,8otyase,1404.0,391.0,False,0.0,
im10_aug_0.jpeg,Aeir,1403.0,561.0,False,0.0,
im10_aug_0.jpeg,85e,1435.0,449.0,False,0.0,
im10_aug_0.jpeg,8a,1431.0,606.0,False,0.17,
im10_aug_0.jpeg,Frir,1225.95,503.48,False,0.02,
im10_aug_1.jpeg,coccihaRKET City,360.0,452.0,False,0.27,
im10_aug_1.jpeg,5 RUE AUGUSTE MIE,418.0,440.0,False,0.75,
im10_aug_1.jpeg,75014 PARIS 14EME ARRONDISSEMENT,445.0,343.0,False,0.62,
im10_aug_1.jpeg,France,475.0,519.0,False,1.0,
im10_aug_1.jpeg,Date,522.0,384.0,False,1.0,
im10_aug_1.jpeg,19/02/2026,523.0,481.0,False,0.72,
im10_aug_1.jpeg,22:12,522.0,658.0,False,1.0,
im10_aug_1.jpeg,Ticket n,561.0,337.0,False,0.82,
im10_aug_1.jpeg,45 0000 0o| 00199900,562.0,503.0,False,0.36,
im10_aug_1.jpeg,DupLICATA T,624.0,296.0,False,0.12,
im10_aug_1.jpeg,79 02*2026,626.0,460.0,False,0.27,
im10_aug_1.jpeg,"23,08",626.0,582.0,True,0.5,
im10_aug_1.jpeg,D745000000100199900-| (H6525)80001LxrL,667.0,293.0,False,0.21,
im10_aug_1.jpeg,Oté Désignation,752.0,295.0,False,0.89,
im10_aug_1.jpeg,P.U Tot. TTC,751.0,669.0,False,0.74,
im10_aug_1.jpeg,EUR,780.0,782.0,False,1.0,
im10_aug_1.jpeg,MINI BATONS BERGER,831.0,349.0,False,0.99,
im10_aug_1.jpeg,"4,15",831.0,656.0,True,0.76,
im10_aug_1.jpeg,"4,15",831.0,768.0,True,1.0,
im10_aug_1.jpeg,Epicerie 5.5 %,861.0,351.0,False,0.97,
im10_aug_1.jpeg,"4,15",860.0,656.0,True,1.0,
